Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.00000","-0.00008","0.00000"
"0.00004","-0.00020","0.02000"
"0.00020","-0.00015","0.04000"
"0.00048","-0.00003","0.06000"
"0.00052","-0.00006","0.08000"
"0.00057","0.00007","0.10000"
"0.00064","0.00006","0.12000"
"0.00088","0.00004","0.14000"
"0.00135","0.00006","0.16000"
"0.00193","0.00033","0.18000"
"0.00243","0.00037","0.20000"
"0.00282","0.00033","0.22000"
"0.00320","0.00019","0.24000"
"0.00360","0.00020","0.26000"
"0.00400","0.00023","0.28000"
"0.00433","0.00018","0.30000"
"0.00459","-0.00007","0.32000"
"0.00485","-0.00001","0.34000"
"0.00513","0.00005","0.36000"
"0.00548","0.00006","0.38000"
"0.00589","0.00026","0.40000"
"0.00638","0.00018","0.42000"
"0.00690","0.00002","0.44000"
"0.00735","0.00001","0.46000"
"0.00771","-0.00004","0.48000"
"0.00804","0.00003","0.50000"
"0.00836","0.00018","0.52000"
"0.00869","0.00007","0.54000"
"0.00899","-0.00014","0.56000"
"0.00925","0.00005","0.58000"
"0.00947","0.00017","0.60000"
"0.00969","0.00014","0.62000"
"0.00993","-0.00012","0.64000"
"0.01021","-0.00017","0.66000"
"0.01055","-0.00032","0.68000"
"0.01095","-0.00021","0.70000"
"0.01141","-0.00008","0.72000"
"0.01188","0.00015","0.74000"
"0.01226","0.00028","0.76000"
"0.01255","0.00008","0.78000"
"0.01282","-0.00006","0.80000"
"0.01312","0.00002","0.82000"
"0.01345","0.00011","0.84000"
"0.01383","0.00003","0.86000"
"0.01418","0.00013","0.88000"
"0.01448","0.00013","0.90000"
"0.01472","0.00015","0.92000"
"0.01496","0.00020","0.94000"
"0.01522","-0.00004","0.96000"
"0.01554","0.00000","0.98000"
"0.01592","0.00008","1.00000"
"0.01637","-0.00005","1.02000"
"0.01688","0.00001","1.04000"
"0.01736","0.00021","1.06000"
"0.01776","0.00007","1.08000"
"0.01810","0.00010","1.10000"
"0.01841","0.00011","1.12000"
"0.01873","0.00000","1.14000"
"0.01903","-0.00021","1.16000"
"0.01931","-0.00011","1.18000"
"0.01954","-0.00014","1.20000"
"0.01976","-0.00011","1.22000"
"0.01999","-0.00015","1.24000"
"0.02024","0.00001","1.26000"
"0.02053","0.00034","1.28000"
"0.02088","0.00013","1.30000"
"0.02132","0.00006","1.32000"
"0.02180","0.00008","1.34000"
"0.02225","0.00020","1.36000"
"0.02260","0.00023","1.38000"
"0.02287","0.00016","1.40000"
"0.02316","0.00013","1.42000"
"0.02348","0.00003","1.44000"
"0.02384","-0.00005","1.46000"
"0.02421","-0.00011","1.48000"
"0.02454","-0.00014","1.50000"
"0.02480","-0.00019","1.52000"
"0.02501","-0.00011","1.54000"
"0.02525","-0.00003","1.56000"
"0.02554","0.00011","1.58000"
"0.02588","-0.00011","1.60000"
"0.02629","-0.00013","1.62000"
"0.02675","-0.00011","1.64000"
"0.02723","-0.00003","1.66000"
"0.02768","-0.00003","1.68000"
"0.02805","0.00005","1.70000"
"0.02839","-0.00011","1.72000"
"0.02874","-0.00012","1.74000"
"0.02908","-0.00011","1.76000"
"0.02938","-0.00016","1.78000"
"0.02963","-0.00006","1.80000"
"0.02984","0.00002","1.82000"
"0.03006","0.00017","1.84000"
"0.03029","0.00017","1.86000"
"0.03057","0.00005","1.88000"
"0.03087","-0.00005","1.90000"
"0.03125","-0.00020","1.92000"
"0.03170","-0.00005","1.94000"
"0.03218","-0.00013","1.96000"
"0.03259","-0.00011","1.98000"
"0.03290","0.00002","2.00000"
"0.03318","-0.00001","2.02000"
"0.03348","-0.00007","2.04000"
"0.03382","0.00003","2.06000"
"0.03419","0.00001","2.08000"
"0.03455","-0.00009","2.10000"
"0.03484","-0.00012","2.12000"
"0.03508","-0.00025","2.14000"
"0.03530","-0.00010","2.16000"
"0.03556","-0.00002","2.18000"
"0.03588","0.00015","2.20000"
"0.03626","0.00015","2.22000"
"0.03670","0.00009","2.24000"
"0.03719","-0.00014","2.26000"
"0.03767","-0.00031","2.28000"
"0.03808","-0.00025","2.30000"
"0.03843","0.00006","2.32000"
"0.03876","-0.00008","2.34000"
"0.03909","-0.00026","2.36000"
"0.03939","0.00004","2.38000"
"0.03966","0.00009","2.40000"
"0.03989","0.00017","2.42000"
"0.04010","0.00012","2.44000"
"0.04033","0.00010","2.46000"
"0.04058","0.00016","2.48000"
"0.04087","0.00006","2.50000"
"0.04122","-0.00003","2.52000"
"0.04164","0.00010","2.54000"
"0.04213","-0.00007","2.56000"
"0.04259","-0.00014","2.58000"
"0.04295","0.00008","2.60000"
"0.04322","-0.00003","2.62000"
"0.04350","-0.00017","2.64000"
"0.04382","-0.00006","2.66000"
"0.04417","0.00006","2.68000"
"0.04454","-0.00006","2.70000"
"0.04487","-0.00035","2.72000"
"0.04513","-0.00028","2.74000"
"0.04536","-0.00001","2.76000"
"0.04560","-0.00009","2.78000"
"0.04589","-0.00001","2.80000"
"0.04623","0.00020","2.82000"
"0.04663","0.00016","2.84000"
"0.04709","-0.00001","2.86000"
"0.04758","-0.00024","2.88000"
"0.04803","-0.00018","2.90000"
"0.04840","0.00011","2.92000"
"0.04873","0.00013","2.94000"
"0.04906","-0.00014","2.96000"
"0.04939","-0.00030","2.98000"
"0.04969","-0.00019","3.00000"
"0.04997","0.00003","3.02000"
"0.05020","-0.00006","3.04000"
"0.05041","0.00012","3.06000"
"0.05064","0.00012","3.08000"
"0.05091","0.00010","3.10000"
"0.05121","0.00007","3.12000"
"0.05159","-0.00002","3.14000"
"0.05204","-0.00009","3.16000"
"0.05252","-0.00011","3.18000"
"0.05294","-0.00002","3.20000"
"0.05325","0.00005","3.22000"
"0.05352","0.00001","3.24000"
"0.05382","0.00018","3.26000"
"0.05417","0.00012","3.28000"
"0.05453","-0.00011","3.30000"
"0.05489","-0.00011","3.32000"
"0.05518","-0.00010","3.34000"
"0.05542","-0.00003","3.36000"
"0.05564","0.00014","3.38000"
"0.05589","0.00013","3.40000"
"0.05620","-0.00014","3.42000"
"0.05657","0.00003","3.44000"
"0.05701","0.00028","3.46000"
"0.05749","0.00046","3.48000"
"0.05798","0.00063","3.50000"
"0.05840","0.00124","3.52000"
"0.05875","0.00191","3.54000"
"0.05907","0.00268","3.56000"
"0.05941","0.00336","3.58000"
"0.05973","0.00428","3.60000"
"0.06001","0.00516","3.62000"
"0.06025","0.00638","3.64000"
"0.06047","0.00745","3.66000"
"0.06069","0.00830","3.68000"
"0.06094","0.00914","3.70000"
"0.06122","0.01027","3.72000"
"0.06155","0.01173","3.74000"
"0.06195","0.01364","3.76000"
"0.06242","0.01589","3.78000"
"0.06288","0.01891","3.80000"
"0.06325","0.02218","3.82000"
"0.06355","0.02548","3.84000"
"0.06383","0.02825","3.86000"
"0.06416","0.03068","3.88000"
"0.06452","0.03370","3.90000"
"0.06488","0.03794","3.92000"
"0.06520","0.04250","3.94000"
"0.06546","0.04671","3.96000"
"0.06569","0.05021","3.98000"
"0.06593","0.05309","4.00000"
"0.06621","0.05647","4.02000"
"0.06655","0.06068","4.04000"
"0.06695","0.06599","4.06000"
"0.06740","0.07259","4.08000"
"0.06789","0.08070","4.10000"
"0.06834","0.09000","4.12000"
"0.06873","0.09893","4.14000"
"0.06907","0.10715","4.16000"
"0.06940","0.11489","4.18000"
"0.06973","0.12221","4.20000"
"0.07004","0.12928","4.22000"
"0.07030","0.13658","4.24000"
"0.07052","0.14373","4.26000"
"0.07073","0.14984","4.28000"
"0.07096","0.15513","4.30000"
"0.07122","0.16076","4.32000"
"0.07152","0.16735","4.34000"
"0.07189","0.17546","4.36000"
"0.07232","0.18577","4.38000"
"0.07278","0.19778","4.40000"
"0.07320","0.21065","4.42000"
"0.07354","0.22325","4.44000"
"0.07382","0.23410","4.46000"
"0.07412","0.24372","4.48000"
"0.07445","0.25341","4.50000"
"0.07482","0.26380","4.52000"
"0.07520","0.27570","4.54000"
"0.07552","0.28882","4.56000"
"0.07577","0.30066","4.58000"
"0.07600","0.30995","4.60000"
"0.07627","0.31841","4.62000"
"0.07657","0.32742","4.64000"
"0.07693","0.33809","4.66000"
"0.07735","0.35120","4.68000"
"0.07782","0.36704","4.70000"
"0.07830","0.38508","4.72000"
"0.07870","0.40360","4.74000"
"0.07904","0.42043","4.76000"
"0.07936","0.43557","4.78000"
"0.07969","0.44950","4.80000"
"0.08001","0.46323","4.82000"
"0.08031","0.47707","4.84000"
"0.08057","0.49008","4.86000"
"0.08079","0.50152","4.88000"
"0.08101","0.51172","4.90000"
"0.08126","0.52146","4.92000"
"0.08156","0.53196","4.94000"
"0.08189","0.54458","4.96000"
"0.08228","0.55971","4.98000"
"0.08274","0.57808","5.00000"
"0.08318","0.59901","5.02000"
"0.08356","0.61982","5.04000"
"0.08386","0.63847","5.06000"
"0.08415","0.65362","5.08000"
"0.08447","0.66752","5.10000"
"0.08482","0.68275","5.12000"
"0.08520","0.69950","5.14000"
"0.08554","0.71757","5.16000"
"0.08581","0.73444","5.18000"
"0.08605","0.74878","5.20000"
"0.08629","0.76136","5.22000"
"0.08657","0.77365","5.24000"
"0.08689","0.78690","5.26000"
"0.08728","0.80242","5.28000"
"0.08773","0.82139","5.30000"
"0.08821","0.84380","5.32000"
"0.08865","0.86831","5.34000"
"0.08901","0.89171","5.36000"
"0.08934","0.91133","5.38000"
"0.08967","0.92886","5.40000"
"0.09002","0.94605","5.42000"
"0.09037","0.96407","5.44000"
"0.09066","0.98235","5.46000"
"0.09089","0.99882","5.48000"
"0.09109","1.01197","5.50000"
"0.09132","1.02333","5.52000"
"0.09158","1.03471","5.54000"
"0.09188","1.04778","5.56000"
"0.09224","1.06351","5.58000"
"0.09267","1.08256","5.60000"
"0.09313","1.10535","5.62000"
"0.09355","1.13034","5.64000"
"0.09389","1.15425","5.66000"
"0.09418","1.17408","5.68000"
"0.09447","1.19055","5.70000"
"0.09481","1.20650","5.72000"
"0.09517","1.22435","5.74000"
"0.09553","1.24402","5.76000"
"0.09586","1.26399","5.78000"
"0.09611","1.28262","5.80000"
"0.09634","1.29794","5.82000"
"0.09659","1.31155","5.84000"
"0.09688","1.32554","5.86000"
"0.09722","1.34123","5.88000"
"0.09763","1.35989","5.90000"
"0.09810","1.38237","5.92000"
"0.09860","1.40893","5.94000"
"0.09902","1.43688","5.96000"
"0.09937","1.46237","5.98000"
"0.09969","1.48328","6.00000"
"0.10002","1.50235","6.02000"
"0.10035","1.52130","6.04000"
"0.10066","1.54032","6.06000"
"0.10093","1.55826","6.08000"
"0.10116","1.57379","6.10000"
"0.10138","1.58760","6.12000"
"0.10162","1.60080","6.14000"
"0.10189","1.61489","6.16000"
"0.10221","1.63078","6.18000"
"0.10259","1.64901","6.20000"
"0.10303","1.67055","6.22000"
"0.10349","1.69585","6.24000"
"0.10389","1.72293","6.26000"
"0.10419","1.74747","6.28000"
"0.10448","1.76721","6.30000"
"0.10479","1.78465","6.32000"
"0.10514","1.80285","6.34000"
"0.10549","1.82331","6.36000"
"0.10584","1.84492","6.38000"
"0.10614","1.86587","6.40000"
"0.10639","1.88462","6.42000"
"0.10662","1.90062","6.44000"
"0.10689","1.91553","6.46000"
"0.10720","1.93155","6.48000"
"0.10757","1.95009","6.50000"
"0.10801","1.97218","6.52000"
"0.10850","1.99867","6.54000"
"0.10898","2.02875","6.56000"
"0.10939","2.05896","6.58000"
"0.10972","2.08536","6.60000"
"0.11004","2.10762","6.62000"
"0.11036","2.12800","6.64000"
"0.11070","2.14802","6.66000"
"0.11101","2.16850","6.68000"
"0.11126","2.18802","6.70000"
"0.11147","2.20448","6.72000"
"0.11169","2.21848","6.74000"
"0.11194","2.23227","6.76000"
"0.11223","2.24780","6.78000"
"0.11256","2.26573","6.80000"
"0.11297","2.28677","6.82000"
"0.11343","2.31217","6.84000"
"0.11388","2.34106","6.86000"
"0.11425","2.36991","6.88000"
"0.11453","2.39449","6.90000"
"0.11480","2.41419","6.92000"
"0.11511","2.43189","6.94000"
"0.11546","2.45118","6.96000"
"0.11584","2.47325","6.98000"
"0.11618","2.49667","7.00000"
"0.11645","2.51889","7.02000"
"0.11667","2.53767","7.04000"
"0.11692","2.55319","7.06000"
"0.11720","2.56838","7.08000"
"0.11753","2.58590","7.10000"
"0.11793","2.60683","7.12000"
"0.11839","2.63222","7.14000"
"0.11888","2.66209","7.16000"
"0.11933","2.69398","7.18000"
"0.11969","2.72402","7.20000"
"0.12002","2.74963","7.22000"
"0.12036","2.77183","7.24000"
"0.12071","2.79389","7.26000"
"0.12103","2.81616","7.28000"
"0.12130","2.83729","7.30000"
"0.12153","2.85599","7.32000"
"0.12175","2.87171","7.34000"
"0.12198","2.88604","7.36000"
"0.12224","2.90071","7.38000"
"0.12253","2.91712","7.40000"
"0.12289","2.93632","7.42000"
"0.12332","2.95995","7.44000"
"0.12379","2.98773","7.46000"
"0.12421","3.01813","7.48000"
"0.12454","3.04682","7.50000"
"0.12482","3.07045","7.52000"
"0.12511","3.09024","7.54000"
"0.12543","3.10910","7.56000"
"0.12579","3.12938","7.58000"
"0.12615","3.15249","7.60000"
"0.12647","3.17701","7.62000"
"0.12672","3.19909","7.64000"
"0.12695","3.21715","7.66000"
"0.12722","3.23319","7.68000"
"0.12752","3.25038","7.70000"
"0.12787","3.27035","7.72000"
"0.12828","3.29380","7.74000"
"0.12876","3.32144","7.76000"
"0.12927","3.35332","7.78000"
"0.12972","3.38724","7.80000"
"0.13008","3.41853","7.82000"
"0.13041","3.44525","7.84000"
"0.13073","3.46859","7.86000"
"0.13104","3.49004","7.88000"
"0.13134","3.51078","7.90000"
"0.13159","3.53054","7.92000"
"0.13181","3.54844","7.94000"
"0.13204","3.56416","7.96000"
"0.13228","3.57960","7.98000"
"0.13256","3.59587","8.00000"
"0.13287","3.61399","8.02000"
"0.13323","3.63468","8.04000"
"0.13367","3.65943","8.06000"
"0.13414","3.68910","8.08000"
"0.13454","3.72055","8.10000"
"0.13485","3.74914","8.12000"
"0.13513","3.77247","8.14000"
"0.13543","3.79228","8.16000"
"0.13578","3.81266","8.18000"
"0.13617","3.83599","8.20000"
"0.13653","3.86195","8.22000"
"0.13681","3.88740","8.24000"
"0.13704","3.90858","8.26000"
"0.13728","3.92555","8.28000"
"0.13756","3.94138","8.30000"
"0.13788","3.95957","8.32000"
"0.13825","3.98167","8.34000"
"0.13869","4.00768","8.36000"
"0.13919","4.03792","8.38000"
"0.13968","4.07193","8.40000"
"0.14006","4.10608","8.42000"
"0.14039","4.13497","8.44000"
"0.14071","4.15875","8.46000"
"0.14105","4.18098","8.48000"
"0.14138","4.20377","8.50000"
"0.14167","4.22692","8.52000"
