Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.00000","0.00033","0.00000"
"0.00007","0.00035","0.02000"
"0.00057","0.00013","0.04000"
"0.00144","0.00033","0.06000"
"0.00180","0.00079","0.08000"
"0.00237","0.00101","0.10000"
"0.00328","0.00135","0.12000"
"0.00437","0.00169","0.14000"
"0.00570","0.00225","0.16000"
"0.00704","0.00284","0.18000"
"0.00823","0.00360","0.20000"
"0.00919","0.00441","0.22000"
"0.01027","0.00521","0.24000"
"0.01152","0.00593","0.26000"
"0.01277","0.00682","0.28000"
"0.01369","0.00765","0.30000"
"0.01446","0.00847","0.32000"
"0.01541","0.00920","0.34000"
"0.01645","0.01022","0.36000"
"0.01752","0.01140","0.38000"
"0.01849","0.01245","0.40000"
"0.01932","0.01359","0.42000"
"0.02032","0.01458","0.44000"
"0.02152","0.01578","0.46000"
"0.02279","0.01713","0.48000"
"0.02377","0.01868","0.50000"
"0.02453","0.02025","0.52000"
"0.02543","0.02149","0.54000"
"0.02646","0.02290","0.56000"
"0.02752","0.02463","0.58000"
"0.02851","0.02639","0.60000"
"0.02932","0.02822","0.62000"
"0.03027","0.02984","0.64000"
"0.03145","0.03200","0.66000"
"0.03274","0.03442","0.68000"
"0.03382","0.03727","0.70000"
"0.03460","0.03959","0.72000"
"0.03547","0.04166","0.74000"
"0.03649","0.04418","0.76000"
"0.03752","0.04718","0.78000"
"0.03854","0.04975","0.80000"
"0.03937","0.05239","0.82000"
"0.04028","0.05494","0.84000"
"0.04145","0.05772","0.86000"
"0.04275","0.06118","0.88000"
"0.04390","0.06496","0.90000"
"0.04468","0.06865","0.92000"
"0.04548","0.07145","0.94000"
"0.04646","0.07421","0.96000"
"0.04748","0.07725","0.98000"
"0.04853","0.08071","1.00000"
"0.04940","0.08441","1.02000"
"0.05027","0.08767","1.04000"
"0.05139","0.09077","1.06000"
"0.05265","0.09496","1.08000"
"0.05388","0.09970","1.10000"
"0.05473","0.10426","1.12000"
"0.05550","0.10770","1.14000"
"0.05647","0.11085","1.16000"
"0.05749","0.11456","1.18000"
"0.05854","0.11892","1.20000"
"0.05945","0.12327","1.22000"
"0.06029","0.12736","1.24000"
