Compressive displacement,Primary force measurement,Time measurement
(mm),(kN),(s)
"0.00000","0.00014","0.00000"
"0.00009","0.00011","0.02000"
"0.00057","0.00006","0.04000"
"0.00133","-0.00012","0.06000"
"0.00147","-0.00005","0.08000"
"0.00172","-0.00025","0.10000"
"0.00250","-0.00030","0.12000"
"0.00358","-0.00010","0.14000"
"0.00454","-0.00006","0.16000"
"0.00557","-0.00007","0.18000"
"0.00677","-0.00012","0.20000"
"0.00801","-0.00021","0.22000"
"0.00896","-0.00023","0.24000"
"0.00960","-0.00011","0.26000"
"0.01032","-0.00001","0.28000"
"0.01122","-0.00005","0.30000"
"0.01212","-0.00008","0.32000"
"0.01300","-0.00011","0.34000"
"0.01379","-0.00012","0.36000"
"0.01444","-0.00020","0.38000"
"0.01521","-0.00008","0.40000"
"0.01622","0.00010","0.42000"
"0.01733","-0.00003","0.44000"
"0.01840","-0.00035","0.46000"
"0.01913","-0.00036","0.48000"
"0.01967","-0.00024","0.50000"
"0.02035","-0.00030","0.52000"
"0.02126","-0.00009","0.54000"
"0.02218","0.00020","0.56000"
"0.02308","0.00011","0.58000"
"0.02388","-0.00007","0.60000"
"0.02453","-0.00003","0.62000"
"0.02527","0.00003","0.64000"
"0.02624","-0.00019","0.66000"
"0.02732","-0.00019","0.68000"
"0.02838","-0.00021","0.70000"
"0.02916","-0.00005","0.72000"
"0.02967","-0.00006","0.74000"
"0.03030","-0.00004","0.76000"
"0.03119","0.00019","0.78000"
"0.03214","0.00162","0.80000"
"0.03305","0.00450","0.82000"
"0.03391","0.00956","0.84000"
"0.03457","0.01655","0.86000"
"0.03524","0.02345","0.88000"
"0.03614","0.03042","0.90000"
"0.03719","0.03730","0.92000"
"0.03828","0.04354","0.94000"
"0.03919","0.04939","0.96000"
"0.03978","0.05442","0.98000"
"0.04038","0.05854","1.00000"
"0.04122","0.06256","1.02000"
"0.04217","0.06775","1.04000"
"0.04309","0.07436","1.06000"
"0.04395","0.08150","1.08000"
"0.04461","0.08841","1.10000"
"0.04524","0.09411","1.12000"
"0.04607","0.09965","1.14000"
"0.04711","0.10713","1.16000"
"0.04820","0.11659","1.18000"
"0.04920","0.12707","1.20000"
"0.04985","0.13705","1.22000"
"0.05043","0.14478","1.24000"
"0.05121","0.15141","1.26000"
"0.05214","0.15965","1.28000"
"0.05303","0.17008","1.30000"
"0.05390","0.18117","1.32000"
"0.05463","0.19226","1.34000"
"0.05526","0.20206","1.36000"
"0.05606","0.21153","1.38000"
"0.05709","0.22315","1.40000"
"0.05819","0.23799","1.42000"
"0.05923","0.25562","1.44000"
"0.05994","0.27340","1.46000"
"0.06049","0.28721","1.48000"
"0.06121","0.29884","1.50000"
"0.06212","0.31255","1.52000"
"0.06300","0.32987","1.54000"
"0.06387","0.34887","1.56000"
"0.06465","0.36869","1.58000"
"0.06530","0.38694","1.60000"
"0.06605","0.40350","1.62000"
"0.06704","0.42212","1.64000"
"0.06813","0.44698","1.66000"
"0.06919","0.47678","1.68000"
"0.06995","0.50707","1.70000"
"0.07049","0.53168","1.72000"
"0.07116","0.55108","1.74000"
"0.07205","0.57346","1.76000"
"0.07296","0.60299","1.78000"
"0.07385","0.63628","1.80000"
"0.07468","0.67091","1.82000"
"0.07533","0.70365","1.84000"
"0.07604","0.73217","1.86000"
"0.07699","0.76274","1.88000"
"0.07808","0.80165","1.90000"
"0.07917","0.84881","1.92000"
"0.08002","0.89823","1.94000"
"0.08056","0.93937","1.96000"
"0.08118","0.96978","1.98000"
"0.08204","1.00005","2.00000"
"0.08296","1.03842","2.02000"
"0.08385","1.08333","2.04000"
"0.08471","1.12964","2.06000"
"0.08540","1.17339","2.08000"
"0.08607","1.21117","2.10000"
"0.08696","1.24757","2.12000"
"0.08802","1.29237","2.14000"
"0.08910","1.34712","2.16000"
"0.09001","1.40578","2.18000"
"0.09060","1.45711","2.20000"
"0.09119","1.49524","2.22000"
"0.09199","1.52929","2.24000"
"0.09293","1.57131","2.26000"
"0.09382","1.62215","2.28000"
"0.09471","1.67511","2.30000"
"0.09544","1.72641","2.32000"
"0.09610","1.77062","2.34000"
"0.09693","1.81098","2.36000"
"0.09795","1.85775","2.38000"
"0.09901","1.91527","2.40000"
"0.09997","1.97789","2.42000"
"0.10063","2.03601","2.44000"
"0.10120","2.08033","2.46000"
"0.10196","2.11697","2.48000"
"0.10291","2.16018","2.50000"
"0.10383","2.21361","2.52000"
"0.10474","2.27044","2.54000"
"0.10551","2.32655","2.56000"
"0.10614","2.37532","2.58000"
"0.10689","2.41726","2.60000"
"0.10787","2.46321","2.62000"
"0.10892","2.52032","2.64000"
"0.10994","2.58507","2.66000"
"0.11070","2.64860","2.68000"
"0.11126","2.69891","2.70000"
"0.11196","2.73781","2.72000"
"0.11288","2.78028","2.74000"
"0.11381","2.83405","2.76000"
"0.11471","2.89284","2.78000"
"0.11551","2.95136","2.80000"
"0.11616","3.00373","2.82000"
"0.11688","3.04845","2.84000"
"0.11782","3.09470","2.86000"
"0.11890","3.15254","2.88000"
"0.11997","3.22040","2.90000"
"0.12081","3.29000","2.92000"
"0.12137","3.34771","2.94000"
"0.12201","3.38975","2.96000"
"0.12288","3.43074","2.98000"
"0.12379","3.48276","3.00000"
"0.12466","3.54175","3.02000"
"0.12550","3.60148","3.04000"
"0.12616","3.65692","3.06000"
"0.12683","3.70388","3.08000"
"0.12771","3.74919","3.10000"
"0.12879","3.80467","3.12000"
"0.12990","3.87280","3.14000"
"0.13085","3.94653","3.16000"
"0.13147","4.01152","3.18000"
"0.13206","4.05853","3.20000"
"0.13286","4.09956","3.22000"
"0.13378","4.14963","3.24000"
"0.13466","4.20938","3.26000"
"0.13553","4.27105","3.28000"
